name,slug,description,price,costPrice,wholesalePrice,compareAtPrice,images,category,sku,stock,isActive,isFeatured,showInPromotions,seoTitle,seoDescription,oemNumbers,attr_type,attr_ապրանքանիշ,attr_սեզոն,attr_լայնություն,attr_պրոֆիլ,attr_չափ,attr_տրամագիծ,vehicle_brand,vehicle_model,vehicle_yearFrom,vehicle_yearTo
,,,,,,,,Ամրակներ,C0201,0,այո,,,,,"14063981,N803043S,6500911,06500911,07142151750,6504700",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0202,0,այո,,,,,"51118047458,20452072,N803862S,6501559,06501559,6506007AA,10184895,W704342S300",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0203,0,այո,,,,,"20433026,175853577A",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0204,0,այո,,,,,"6500898, 15718794",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0205,0,այո,,,,,"20421800,15600382,10073833",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0205Yellow,0,այո,,,,,"15596301,15588024",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0206,0,այո,,,,,"N803170S,5017410AA,6501544",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0206Natural,0,այո,,,,,,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0207,0,այո,,,,,"1631564,N804379S,34202787,W706358S300",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0208,0,այո,,,,,"N804349S,2L1Z7852140AA",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0209,0,այո,,,,,"22718305,N802734S,N808679S,N803734S",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0210,0,այո,,,,,C1A6220807A,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0211,0,այո,,,,,"25535963,N811772S,5183468AA",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0212,0,այո,,,,,20058837,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0213,0,այո,,,,,"4292906, 14591487",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0214,0,այո,,,,,6384401A99,,,,,,,,,,,
,,,,,,,,Ամրակներ,C0215,0,այո,,,,,"30008324,0940907325,09409073255PK",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0216,0,այո,,,,,"12681763,1104882, 1268176",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0217,0,այո,,,,,"M020923,MU481187",,,,,,,,,,,
,,,,,,,,Ամրակներ,C0217Black,0,այո,,,,,"MU481188,M020923",,,,,,,,,,,
